feedback,output,flag,timestamp
,,like,2025-01-10 21:25:27.130481
,,like,2025-01-10 21:25:28.927846
y,"Thank you for your feedback, click flag as like!",like,2025-01-10 21:25:42.712054
Horrible,Please enter Y or Yes or N or No,dislike,2025-01-11 10:33:26.801185
Horrible,Please enter Y or Yes or N or No,dislike,2025-01-11 10:34:27.260029
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:28.753744
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:30.246275
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:31.520308
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:32.813918
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:34.047142
Horrible,Please enter Y or Yes or N or No,like,2025-01-11 10:34:35.146832
Y,"Thank you for your feedback, click flag as like!",like,2025-01-11 10:42:01.663089
